algo,serie,taille,temps
seuil,testset1,1000,410
seuil,testset1,1000,412
seuil,testset1,1000,455
seuil,testset1,1000,460
seuil,testset1,1000,456
seuil,testset1,1000,471
seuil,testset1,1000,472
seuil,testset1,1000,472
seuil,testset1,1000,593
seuil,testset1,1000,452
seuil,testset1,16000,10305
seuil,testset1,16000,9724
seuil,testset1,16000,9672
seuil,testset1,16000,9324
seuil,testset1,16000,10575
seuil,testset1,16000,11708
seuil,testset1,16000,9796
seuil,testset1,16000,8962
seuil,testset1,16000,8517
seuil,testset1,16000,9497
seuil,testset1,20000,12730
seuil,testset1,20000,11846
seuil,testset1,20000,12636
seuil,testset1,20000,11265
seuil,testset1,20000,11394
seuil,testset1,20000,11929
seuil,testset1,20000,11400
seuil,testset1,20000,11165
seuil,testset1,20000,10855
seuil,testset1,20000,11814
seuil,testset1,2000,965
seuil,testset1,2000,1062
seuil,testset1,2000,970
seuil,testset1,2000,975
seuil,testset1,2000,971
seuil,testset1,2000,970
seuil,testset1,2000,968
seuil,testset1,2000,967
seuil,testset1,2000,1000
seuil,testset1,2000,984
seuil,testset1,32000,20554
seuil,testset1,32000,17296
seuil,testset1,32000,18591
seuil,testset1,32000,17423
seuil,testset1,32000,18306
seuil,testset1,32000,18381
seuil,testset1,32000,17760
seuil,testset1,32000,19727
seuil,testset1,32000,18755
seuil,testset1,32000,17349
seuil,testset1,4000,2037
seuil,testset1,4000,2008
seuil,testset1,4000,2662
seuil,testset1,4000,1967
seuil,testset1,4000,2815
seuil,testset1,4000,2004
seuil,testset1,4000,1942
seuil,testset1,4000,2318
seuil,testset1,4000,2084
seuil,testset1,4000,2043
seuil,testset1,64000,37364
seuil,testset1,64000,39503
seuil,testset1,64000,36384
seuil,testset1,64000,36985
seuil,testset1,64000,36509
seuil,testset1,64000,36152
seuil,testset1,64000,36344
seuil,testset1,64000,36503
seuil,testset1,64000,37239
seuil,testset1,64000,36719
seuil,testset1,8000,5080
seuil,testset1,8000,5969
seuil,testset1,8000,4156
seuil,testset1,8000,4138
seuil,testset1,8000,4149
seuil,testset1,8000,4186
seuil,testset1,8000,5266
seuil,testset1,8000,4696
seuil,testset1,8000,5111
seuil,testset1,8000,4125
