algo,serie,taille,temps
seuil,testset1,1000,426
seuil,testset1,1000,445
seuil,testset1,1000,422
seuil,testset1,1000,473
seuil,testset1,1000,447
seuil,testset1,1000,403
seuil,testset1,1000,561
seuil,testset1,1000,802
seuil,testset1,1000,433
seuil,testset1,1000,450
seuil,testset1,16000,8711
seuil,testset1,16000,11452
seuil,testset1,16000,8540
seuil,testset1,16000,8501
seuil,testset1,16000,8562
seuil,testset1,16000,11453
seuil,testset1,16000,8774
seuil,testset1,16000,11685
seuil,testset1,16000,8949
seuil,testset1,16000,8702
seuil,testset1,20000,11261
seuil,testset1,20000,12408
seuil,testset1,20000,11678
seuil,testset1,20000,11815
seuil,testset1,20000,12066
seuil,testset1,20000,11223
seuil,testset1,20000,11489
seuil,testset1,20000,10965
seuil,testset1,20000,11125
seuil,testset1,20000,11018
seuil,testset1,2000,875
seuil,testset1,2000,1076
seuil,testset1,2000,865
seuil,testset1,2000,1161
seuil,testset1,2000,923
seuil,testset1,2000,906
seuil,testset1,2000,867
seuil,testset1,2000,882
seuil,testset1,2000,914
seuil,testset1,2000,972
seuil,testset1,32000,19265
seuil,testset1,32000,19575
seuil,testset1,32000,18706
seuil,testset1,32000,19986
seuil,testset1,32000,18005
seuil,testset1,32000,18305
seuil,testset1,32000,18045
seuil,testset1,32000,19812
seuil,testset1,32000,17687
seuil,testset1,32000,18071
seuil,testset1,4000,2003
seuil,testset1,4000,1869
seuil,testset1,4000,1878
seuil,testset1,4000,1889
seuil,testset1,4000,1944
seuil,testset1,4000,2019
seuil,testset1,4000,2009
seuil,testset1,4000,1822
seuil,testset1,4000,2024
seuil,testset1,4000,1957
seuil,testset1,64000,36786
seuil,testset1,64000,37309
seuil,testset1,64000,37675
seuil,testset1,64000,36550
seuil,testset1,64000,36894
seuil,testset1,64000,37150
seuil,testset1,64000,39089
seuil,testset1,64000,37088
seuil,testset1,64000,37300
seuil,testset1,64000,37402
seuil,testset1,8000,5599
seuil,testset1,8000,4187
seuil,testset1,8000,3904
seuil,testset1,8000,5014
seuil,testset1,8000,4471
seuil,testset1,8000,5435
seuil,testset1,8000,3890
seuil,testset1,8000,5646
seuil,testset1,8000,4188
seuil,testset1,8000,4040
