algo,serie,taille,temps
seuil,testset1,1000,432
seuil,testset1,1000,411
seuil,testset1,1000,428
seuil,testset1,1000,426
seuil,testset1,1000,524
seuil,testset1,1000,529
seuil,testset1,1000,412
seuil,testset1,1000,372
seuil,testset1,1000,426
seuil,testset1,1000,442
seuil,testset1,16000,11109
seuil,testset1,16000,8267
seuil,testset1,16000,8267
seuil,testset1,16000,9013
seuil,testset1,16000,8444
seuil,testset1,16000,9940
seuil,testset1,16000,9924
seuil,testset1,16000,9633
seuil,testset1,16000,8358
seuil,testset1,16000,8742
seuil,testset1,20000,10770
seuil,testset1,20000,13212
seuil,testset1,20000,11535
seuil,testset1,20000,12169
seuil,testset1,20000,11091
seuil,testset1,20000,10579
seuil,testset1,20000,11550
seuil,testset1,20000,13115
seuil,testset1,20000,13107
seuil,testset1,20000,10736
seuil,testset1,2000,880
seuil,testset1,2000,952
seuil,testset1,2000,900
seuil,testset1,2000,1163
seuil,testset1,2000,851
seuil,testset1,2000,882
seuil,testset1,2000,828
seuil,testset1,2000,891
seuil,testset1,2000,1086
seuil,testset1,2000,852
seuil,testset1,32000,17666
seuil,testset1,32000,17948
seuil,testset1,32000,17399
seuil,testset1,32000,18326
seuil,testset1,32000,18921
seuil,testset1,32000,19082
seuil,testset1,32000,19004
seuil,testset1,32000,19068
seuil,testset1,32000,19010
seuil,testset1,32000,18161
seuil,testset1,4000,1863
seuil,testset1,4000,1811
seuil,testset1,4000,1928
seuil,testset1,4000,1883
seuil,testset1,4000,1904
seuil,testset1,4000,1783
seuil,testset1,4000,1941
seuil,testset1,4000,2540
seuil,testset1,4000,2257
seuil,testset1,4000,1796
seuil,testset1,64000,36132
seuil,testset1,64000,37517
seuil,testset1,64000,36681
seuil,testset1,64000,35919
seuil,testset1,64000,37083
seuil,testset1,64000,36515
seuil,testset1,64000,36753
seuil,testset1,64000,37868
seuil,testset1,64000,40451
seuil,testset1,64000,36353
seuil,testset1,8000,4630
seuil,testset1,8000,3861
seuil,testset1,8000,4190
seuil,testset1,8000,4642
seuil,testset1,8000,3990
seuil,testset1,8000,4083
seuil,testset1,8000,4487
seuil,testset1,8000,3858
seuil,testset1,8000,4176
seuil,testset1,8000,4124
